Date du jour,Intervalle 15 min,IVRName,Nombre d'appels reçus,Appels Répondus,Appels Perdus,Durée totale d'appel,Durée moyenne d'appel,Taux de réponse
07/04/2026,16:30:00,Pôle Fa - ELICA,2,2,0,1460,730,"100,00%"
07/04/2026,13:45:00,Pôle Fa - ELICA,1,0,1,610,610,"0,00%"
07/04/2026,15:00:00,Pôle Fa - ELICA,4,4,0,1702,425.5,"100,00%"
07/04/2026,11:00:00,Pôle Fa - ELICA,1,1,0,689,689,"100,00%"
07/04/2026,12:15:00,Pôle Fa - ELICA,1,1,0,157,157,"100,00%"
07/04/2026,11:30:00,Pôle Fa - ELICA,1,1,0,1207,1207,"100,00%"
07/04/2026,13:30:00,Pôle Fa - ELICA,1,1,0,376,376,"100,00%"
07/04/2026,16:00:00,Pôle Fa - ELICA,1,0,1,613,613,"0,00%"
07/04/2026,16:45:00,Pôle Fa - ELICA,1,1,0,801,801,"100,00%"
07/04/2026,18:15:00,Pôle Fa - ELICA,1,1,0,983,983,"100,00%"
07/04/2026,10:30:00,Pôle Fa - ELICA,4,4,0,2115,528.75,"100,00%"
07/04/2026,13:00:00,Pôle Fa - ELICA,1,1,0,942,942,"100,00%"
07/04/2026,16:15:00,Pôle Fa - ELICA,1,1,0,555,555,"100,00%"
07/04/2026,10:45:00,Pôle Fa - ELICA,4,4,0,1999,499.75,"100,00%"
07/04/2026,15:30:00,Pôle Fa - ELICA,6,0,6,2682,447,"0,00%"
07/04/2026,14:30:00,Pôle Fa - ELICA,4,2,2,2714,678.5,"50,00%"
07/04/2026,10:15:00,Pôle Fa - ELICA,1,1,0,841,841,"100,00%"
07/04/2026,10:00:00,Pôle Fa - ELICA,5,5,0,2924,584.8,"100,00%"
07/04/2026,13:15:00,Pôle Fa - ELICA,1,1,0,237,237,"100,00%"
07/04/2026,15:45:00,Pôle Fa - ELICA,3,1,2,1833,611,"33,33%"
07/04/2026,14:00:00,Pôle Fa - ELICA,3,2,1,1547,515.67,"66,67%"
07/04/2026,18:00:00,Pôle Fa - ELICA,2,2,0,572,286,"100,00%"
07/04/2026,14:15:00,Pôle Fa - ELICA,4,0,4,2061,515.25,"0,00%"
07/04/2026,18:30:00,Pôle Fa - ELICA,3,3,0,2839,946.33,"100,00%"
07/04/2026,11:15:00,Pôle Fa - ELICA,2,2,0,291,145.5,"100,00%"
07/04/2026,15:15:00,Pôle Fa - ELICA,5,1,4,3390,678,"20,00%"
07/04/2026,13:45:00,Pôle FA - MIDEA,3,3,0,1318,439.33,"100,00%"
07/04/2026,15:00:00,Pôle FA - MIDEA,8,2,6,6324,790.5,"25,00%"
07/04/2026,11:00:00,Pôle FA - MIDEA,4,3,1,1710,427.5,"75,00%"
07/04/2026,12:15:00,Pôle FA - MIDEA,2,2,0,618,309,"100,00%"
07/04/2026,11:30:00,Pôle FA - MIDEA,1,0,1,245,245,"0,00%"
07/04/2026,12:30:00,Pôle FA - MIDEA,1,1,0,190,190,"100,00%"
07/04/2026,13:30:00,Pôle FA - MIDEA,2,2,0,555,277.5,"100,00%"
07/04/2026,16:00:00,Pôle FA - MIDEA,6,4,2,3427,571.17,"66,67%"
07/04/2026,12:00:00,Pôle FA - MIDEA,2,2,0,257,128.5,"100,00%"
07/04/2026,10:30:00,Pôle FA - MIDEA,2,2,0,1823,911.5,"100,00%"
07/04/2026,13:00:00,Pôle FA - MIDEA,2,2,0,947,473.5,"100,00%"
07/04/2026,16:15:00,Pôle FA - MIDEA,3,3,0,2994,998,"100,00%"
07/04/2026,10:45:00,Pôle FA - MIDEA,6,2,4,3510,585,"33,33%"
07/04/2026,14:45:00,Pôle FA - MIDEA,7,4,3,5260,751.43,"57,14%"
07/04/2026,15:30:00,Pôle FA - MIDEA,6,0,6,3524,587.33,"0,00%"
07/04/2026,14:30:00,Pôle FA - MIDEA,6,6,0,4056,676,"100,00%"
07/04/2026,10:15:00,Pôle FA - MIDEA,7,7,0,2568,366.86,"100,00%"
07/04/2026,10:00:00,Pôle FA - MIDEA,4,3,1,1082,270.5,"75,00%"
07/04/2026,13:15:00,Pôle FA - MIDEA,1,1,0,218,218,"100,00%"
07/04/2026,15:45:00,Pôle FA - MIDEA,6,0,6,3607,601.17,"0,00%"
07/04/2026,14:00:00,Pôle FA - MIDEA,5,4,1,1884,376.8,"80,00%"
07/04/2026,14:15:00,Pôle FA - MIDEA,5,4,1,3631,726.2,"80,00%"
07/04/2026,11:15:00,Pôle FA - MIDEA,2,2,0,1785,892.5,"100,00%"
07/04/2026,15:15:00,Pôle FA - MIDEA,5,0,5,3080,616,"0,00%"
07/04/2026,16:30:00,MOBALPA,4,3,1,3160,790,"75,00%"
07/04/2026,12:45:00,MOBALPA,4,3,1,2628,657,"75,00%"
07/04/2026,13:45:00,MOBALPA,1,1,0,455,455,"100,00%"
07/04/2026,12:30:00,MOBALPA,2,2,0,954,477,"100,00%"
07/04/2026,16:45:00,MOBALPA,5,5,0,3387,677.4,"100,00%"
07/04/2026,16:00:00,MOBALPA,10,6,4,6111,611.1,"60,00%"
07/04/2026,12:00:00,MOBALPA,2,2,0,1550,775,"100,00%"
