Date du jour,Intervalle 15 min,IVRName,Nombre d'appels reçus,Appels Répondus,Appels Perdus,Durée totale d'appel,Durée moyenne d'appel,Taux de réponse
08/04/2026,10:30:00,Pôle Fa - ELICA,3,3,0,528,176,"100,00%"
08/04/2026,13:45:00,Pôle Fa - ELICA,1,1,0,285,285,"100,00%"
08/04/2026,15:30:00,Pôle Fa - ELICA,2,2,0,259,129.5,"100,00%"
08/04/2026,07:15:00,Pôle Fa - ELICA,3,3,0,424,141.33,"100,00%"
08/04/2026,13:00:00,Pôle Fa - ELICA,1,1,0,60,60,"100,00%"
08/04/2026,07:45:00,Pôle Fa - ELICA,4,4,0,335,83.75,"100,00%"
08/04/2026,07:00:00,Pôle Fa - ELICA,4,4,0,732,183,"100,00%"
08/04/2026,10:45:00,Pôle Fa - ELICA,1,1,0,366,366,"100,00%"
08/04/2026,13:30:00,Pôle Fa - ELICA,1,1,0,16,16,"100,00%"
08/04/2026,14:30:00,Pôle Fa - ELICA,1,1,0,535,535,"100,00%"
08/04/2026,07:30:00,Pôle Fa - ELICA,4,4,0,370,92.5,"100,00%"
08/04/2026,12:15:00,Pôle Fa - ELICA,1,1,0,69,69,"100,00%"
08/04/2026,13:15:00,Pôle Fa - ELICA,1,1,0,232,232,"100,00%"
08/04/2026,08:00:00,Pôle Fa - ELICA,1,1,0,65,65,"100,00%"
08/04/2026,12:45:00,Pôle Fa - ELICA,1,1,0,521,521,"100,00%"
08/04/2026,08:15:00,Pôle Fa - ELICA,1,1,0,61,61,"100,00%"
08/04/2026,10:00:00,Pôle Fa - ELICA,1,1,0,120,120,"100,00%"
08/04/2026,15:00:00,Pôle Fa - ELICA,2,2,0,228,114,"100,00%"
08/04/2026,09:15:00,Pôle Fa - ELICA,3,3,0,642,214,"100,00%"
08/04/2026,14:00:00,Pôle Fa - ELICA,2,2,0,1872,936,"100,00%"
08/04/2026,14:45:00,Pôle Fa - ELICA,1,1,0,599,599,"100,00%"
08/04/2026,07:00:00,Pôle FA - MIDEA,3,3,0,194,64.67,"100,00%"
08/04/2026,07:15:00,Pôle FA - MIDEA,2,2,0,372,186,"100,00%"
08/04/2026,07:30:00,Pôle FA - MIDEA,3,3,0,190,63.33,"100,00%"
08/04/2026,09:30:00,Pôle FA - MIDEA,1,1,0,31,31,"100,00%"
08/04/2026,10:45:00,Pôle FA - MIDEA,1,0,1,16,16,"0,00%"
08/04/2026,11:00:00,Pôle FA - MIDEA,3,3,0,162,54,"100,00%"
08/04/2026,11:15:00,Pôle FA - MIDEA,1,0,1,8,8,"0,00%"
08/04/2026,11:45:00,Pôle FA - MIDEA,1,1,0,43,43,"100,00%"
08/04/2026,12:00:00,Pôle FA - MIDEA,1,1,0,220,220,"100,00%"
08/04/2026,13:45:00,Pôle FA - MIDEA,2,2,0,297,148.5,"100,00%"
08/04/2026,14:00:00,Pôle FA - MIDEA,2,2,0,1578,789,"100,00%"
08/04/2026,14:45:00,Pôle FA - MIDEA,1,1,0,127,127,"100,00%"
08/04/2026,15:15:00,Pôle FA - MIDEA,1,1,0,7,7,"100,00%"
08/04/2026,15:45:00,Pôle FA - MIDEA,1,1,0,507,507,"100,00%"
08/04/2026,07:45:00,unknown,1,1,0,434,434,"100,00%"
08/04/2026,08:15:00,unknown,1,1,0,1243,1243,"100,00%"
08/04/2026,08:30:00,unknown,1,1,0,242,242,"100,00%"
08/04/2026,11:15:00,unknown,1,1,0,525,525,"100,00%"
08/04/2026,14:30:00,unknown,1,1,0,1323,1323,"100,00%"
08/04/2026,14:45:00,unknown,1,1,0,1508,1508,"100,00%"
08/04/2026,16:00:00,unknown,1,1,0,85,85,"100,00%"
Total pour 08/04/2026,,,69,67,2,17431,252.62,"97,10%"
