Date du jour,Intervalle 15 min,IVRName,Nombre d'appels recus,Appels Repondus,Appels Perdus,Duree totale d'appel,Duree moyenne d'appel,Taux de reponse
2026-03-20,08:15:00,MOBALPA,1,1,0,289,289,1
2026-03-20,08:30:00,MOBALPA,3,3,0,992,330.67,1
2026-03-20,08:45:00,MOBALPA,5,5,0,1235,247,1
2026-03-20,09:00:00,MOBALPA,4,4,0,1337,334.25,1
2026-03-20,09:15:00,MOBALPA,5,5,0,1206,241.2,1
2026-03-20,09:30:00,MOBALPA,5,5,0,1758,351.6,1
2026-03-20,09:45:00,MOBALPA,2,2,0,292,146,1
2026-03-20,10:15:00,MOBALPA,3,3,0,1019,339.67,1
2026-03-20,10:30:00,MOBALPA,7,7,0,2128,304,1
2026-03-20,10:45:00,MOBALPA,2,2,0,1129,564.5,1
2026-03-20,11:00:00,MOBALPA,1,1,0,111,111,1
2026-03-20,11:30:00,MOBALPA,2,2,0,567,283.5,1
2026-03-20,11:45:00,MOBALPA,1,1,0,196,196,1
2026-03-20,12:00:00,MOBALPA,2,2,0,851,425.5,1
2026-03-20,12:15:00,MOBALPA,1,1,0,264,264,1
2026-03-20,12:30:00,MOBALPA,1,1,0,324,324,1
2026-03-20,12:45:00,MOBALPA,3,3,0,1028,342.67,1
2026-03-20,13:00:00,MOBALPA,2,2,0,757,378.5,1
2026-03-20,13:15:00,MOBALPA,4,4,0,897,224.25,1
2026-03-20,13:30:00,MOBALPA,2,2,0,279,139.5,1
2026-03-20,13:45:00,MOBALPA,6,6,0,1960,326.67,1
2026-03-20,14:00:00,MOBALPA,4,4,0,1010,252.5,1
2026-03-20,14:15:00,MOBALPA,2,2,0,575,287.5,1
2026-03-20,14:30:00,MOBALPA,5,5,0,2471,494.2,1
2026-03-20,14:45:00,MOBALPA,1,1,0,171,171,1
2026-03-20,15:00:00,MOBALPA,3,3,0,1200,400,1
2026-03-20,15:15:00,MOBALPA,1,1,0,296,296,1
2026-03-20,15:30:00,MOBALPA,3,3,0,996,332,1
2026-03-20,15:45:00,MOBALPA,2,2,0,1020,510,1
2026-03-20,16:15:00,MOBALPA,3,3,0,872,290.67,1
2026-03-20,16:30:00,MOBALPA,1,1,0,164,164,1
2026-03-20,16:45:00,MOBALPA,4,4,0,1084,271,1
2026-03-20,17:15:00,MOBALPA,1,1,0,519,519,1
