Date du jour,Intervalle 15 min,IVRName,Nombre d'appels recus,Appels Repondus,Appels Perdus,Duree totale d'appel,Duree moyenne d'appel,Taux de reponse
2026-03-20,08:00:00,Pôle FA - MIDEA,2,2,0,150,75,100
2026-03-20,08:15:00,Pôle FA - MIDEA,6,6,0,432,72,100
2026-03-20,09:00:00,Pôle FA - MIDEA,1,1,0,44,44,100
2026-03-20,12:45:00,Pôle FA - MIDEA,1,1,0,48,48,100
2026-03-20,13:30:00,Pôle FA - MIDEA,2,2,0,62,31,100
2026-03-20,14:00:00,Pôle FA - MIDEA,1,1,0,40,40,100
2026-03-20,15:30:00,Pôle FA - MIDEA,3,2,1,143,47.67,66.67
2026-03-20,15:45:00,Pôle FA - MIDEA,2,1,1,108,54,50
2026-03-20,16:15:00,Pôle FA - MIDEA,1,1,0,376,376,100
2026-03-20,16:45:00,Pôle FA - MIDEA,2,2,0,399,199.5,100
