Date du jour,Intervalle 15 min,IVRName,Nombre d'appels recus,Appels Repondus,Appels Perdus,Duree totale d'appel,Duree moyenne d'appel,Taux de reponse
2026-03-20,08:00:00,Pôle Fa - ELICA,2,2,0,91,45.5,100
2026-03-20,08:15:00,Pôle Fa - ELICA,7,6,1,307,43.86,85.71
2026-03-20,08:30:00,Pôle Fa - ELICA,1,0,1,19,19,0
2026-03-20,08:45:00,Pôle Fa - ELICA,1,1,0,50,50,100
2026-03-20,09:00:00,Pôle Fa - ELICA,1,1,0,65,65,100
2026-03-20,09:15:00,Pôle Fa - ELICA,2,2,0,327,163.5,100
2026-03-20,09:30:00,Pôle Fa - ELICA,1,1,0,265,265,100
2026-03-20,09:45:00,Pôle Fa - ELICA,1,1,0,44,44,100
2026-03-20,13:00:00,Pôle Fa - ELICA,3,3,0,189,63,100
2026-03-20,14:00:00,Pôle Fa - ELICA,1,1,0,660,660,100
2026-03-20,16:15:00,Pôle Fa - ELICA,1,1,0,502,502,100
