"num_ticket","date_creation","status","reponse_client"
"COSPA-4321","2025-12-11 07:18:12","en cours","Non"
"COSPA-4218","2025-12-10 10:48:14","en cours","Non"
"COSPA-4216","2025-12-10 10:43:43","en cours","Non"
"COSPA-4200","2025-12-10 09:32:22","en cours","Non"
"COSPA-4196","2025-12-10 09:24:14","en cours","Non"
"COSPA-4191","2025-12-10 09:03:02","en attente","Non"
"COSPA-4180","2025-12-10 08:23:22","en cours","Non"
"COSPA-4178","2025-12-10 08:15:57","en cours","Non"
"COSPA-4176","2025-12-10 07:56:20","en cours","Non"
"COSPA-4169","2025-12-10 07:18:55","en attente","Non"
"COSPA-4156","2025-12-09 21:43:53","en attente","Non"
"COSPA-4152","2025-12-09 21:07:08","en attente","Non"
"COSPA-4141","2025-12-09 18:22:10","en cours","Non"
"COSPA-4139","2025-12-09 18:06:53","en cours","Non"
"COSPA-4137","2025-12-09 17:53:24","en cours","Non"
"COSPA-4125","2025-12-09 16:35:26","en attente","Non"
"COSPA-4122","2025-12-09 15:54:55","en attente","Non"
"COSPA-4223","2025-12-10 11:11:33","en attente","Non"
"COSPA-4226","2025-12-10 11:24:42","en attente","Non"
"COSPA-4315","2025-12-10 23:13:32","en attente","Non"
"COSPA-4312","2025-12-10 22:21:10","en attente","Non"
"COSPA-4309","2025-12-10 21:54:07","en attente","Non"
"COSPA-4308","2025-12-10 21:18:44","en attente","Non"
"COSPA-4299","2025-12-10 19:28:08","en attente","Non"
"COSPA-4292","2025-12-10 18:01:53","en attente","Non"
"COSPA-4287","2025-12-10 17:06:17","en attente","Non"
"COSPA-4273","2025-12-10 15:55:26","en cours","Non"
"COSPA-4269","2025-12-10 14:46:44","en attente","Non"
"COSPA-4259","2025-12-10 13:51:58","en cours","Non"
"COSPA-4251","2025-12-10 13:23:14","en attente","Non"
"COSPA-4247","2025-12-10 13:07:07","en cours","Non"
"COSPA-4240","2025-12-10 12:35:01","en cours","Non"
"COSPA-4237","2025-12-10 12:26:05","en attente","Non"
"COSPA-4236","2025-12-10 12:25:27","en attente","Non"
"COSPA-4233","2025-12-10 12:12:26","en cours","Non"
"COSPA-4119","2025-12-09 15:30:25","en attente","Non"
"COSPA-4117","2025-12-09 15:30:07","en attente","Non"
"COSPA-4050","2025-12-09 10:42:29","en attente","Non"
"COSPA-4048","2025-12-09 10:30:50","en attente","Non"
"COSPA-4046","2025-12-09 10:23:36","en cours","Non"
"COSPA-4039","2025-12-09 09:49:03","en attente","Non"
"COSPA-4034","2025-12-09 09:20:49","en attente","Non"
"COSPA-4032","2025-12-09 09:18:30","en attente","Non"
"COSPA-4027","2025-12-09 08:58:31","en attente","Non"
"COSPA-4009","2025-12-09 07:34:34","en attente","Non"
"COSPA-4002","2025-12-09 04:30:57","en attente","Non"
"COSPA-4001","2025-12-09 04:28:53","en attente","Non"
"COSPA-4000","2025-12-09 02:29:32","en attente","Non"
"COSPA-3994","2025-12-08 22:20:05","en attente","Non"
"COSPA-3991","2025-12-08 21:03:56","en cours","Non"
"COSPA-3988","2025-12-08 20:27:26","en cours","Non"
"COSPA-3985","2025-12-08 19:55:32","en attente","Non"
"COSPA-3983","2025-12-08 19:33:54","en attente","Non"
"COSPA-4055","2025-12-09 11:12:20","en attente","Non"
"COSPA-4056","2025-12-09 11:12:20","en attente","Non"
"COSPA-4116","2025-12-09 15:26:55","en attente","Non"
"COSPA-4114","2025-12-09 15:04:55","en attente","Non"
"COSPA-4111","2025-12-09 14:34:57","en attente","Non"
"COSPA-4108","2025-12-09 14:18:57","en cours","Non"
"COSPA-4107","2025-12-09 14:17:01","en cours","Non"
"COSPA-4104","2025-12-09 14:10:57","en cours","Non"
"COSPA-4101","2025-12-09 14:04:21","en cours","Non"
"COSPA-4100","2025-12-09 14:03:14","en cours","Non"
"COSPA-4097","2025-12-09 13:46:43","en attente","Non"
"COSPA-4094","2025-12-09 13:38:45","en attente","Non"
"COSPA-4086","2025-12-09 13:14:16","en cours","Non"
"COSPA-4080","2025-12-09 12:13:40","en attente","Non"
"COSPA-4076","2025-12-09 12:10:16","en attente","Non"
"COSPA-4067","2025-12-09 11:47:24","en attente","Non"
"COSPA-4066","2025-12-09 11:45:58","en attente","Non"
"COSPA-4061","2025-12-09 11:27:05","en attente","Non"
"COSPA-3977","2025-12-08 17:59:02","en cours","Non"
"COSPA-4326","2025-12-11 08:02:56","en attente","Non"
"COSPA-4694","2025-12-13 18:58:55","en attente","Non"
"COSPA-4644","2025-12-13 10:39:21","en cours","Non"
"COSPA-4643","2025-12-13 10:31:12","en cours","Non"
"COSPA-4640","2025-12-13 10:28:17","en cours","Non"
"COSPA-4636","2025-12-13 09:52:13","en cours","Non"
"COSPA-4634","2025-12-13 09:43:07","en attente","Non"
"COSPA-4633","2025-12-13 09:38:53","en attente","Non"
"COSPA-4629","2025-12-13 08:43:54","en attente","Non"
"COSPA-4624","2025-12-13 07:18:08","en attente","Non"
"COSPA-4618","2025-12-13 00:11:27","en attente","Non"
"COSPA-4614","2025-12-12 23:10:07","en attente","Non"
"COSPA-4594","2025-12-12 17:44:09","en attente","Non"
"COSPA-4585","2025-12-12 16:37:19","en cours","Non"
"COSPA-4584","2025-12-12 16:32:42","en cours","Non"
"COSPA-4581","2025-12-12 15:57:21","en attente","Non"
